datetime,day,month,prcp-2000,prcp-2001,prcp-2002,prcp-2003,prcp-2004,prcp-2005,prcp-2006,prcp-2007,prcp-2008,prcp-2009,prcp-2010,prcp-2011,prcp-2012,prcp-2013,prcp-2014,prcp-2015,prcp-2016,prcp-2017,prcp-2018,prcp-2019,prcp-average,snow-2000,snow-2001,snow-2002,snow-2003,snow-2004,snow-2005,snow-2006,snow-2007,snow-2008,snow-2009,snow-2010,snow-2011,snow-2012,snow-2013,snow-2014,snow-2015,snow-2016,snow-2017,snow-2018,snow-2019,snow-average
1/25/2021,25,1,0.31,0.24,0,0,0.14,0,0,0,0,0.76,0,0.08,0,0,0,0,0,0.09,0.03,0,0.0825,0,1.6,0,0,4.1,0,0,0,0,2.8,0,1.5,0,0,0,0,0,1.6,0.2,0,0.59
1/26/2021,26,1,0.05,0,0,0,0,0.03,0,0,0,0.03,0.02,0,0.12,0,0,0,0,0,0.01,0,0.013,0,0,0,0,0,0,0,0,0,0.7,0.4,0,0,0,0,0,0,0.3,0.2,0,0.08
1/27/2021,27,1,0,0,0,0.1,0,0.31,0.15,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0.057,0,0,0,0,0,0.6,1.4,0,0,0,0,0,0,9.3,0,0,0,0,0,0,0.565
1/28/2021,28,1,0,0,0.23,0.46,0.01,0,0.05,0,0.12,0.01,0,0,0,0.03,0,0,0,0,0,0,0.0455,0,0,4.5,0,0.2,0,0.5,0,2,0.3,0,0,0,0.6,0,0,0,0,0,0,0.405
1/29/2021,29,1,0,0.14,0,0,0,0.15,0,0,0.01,0,0,0,0,0.1,0.51,0,0.03,0,0,0,0.047,0,1.5,0,0,0,0,0,0,0.1,0,0,0,0,1.9,1,0,0,0,0,0,0.225
1/30/2021,30,1,0,0.04,0,0,0.06,0,0.02,0,0.06,0,0,0.03,0,0.13,0.12,0,0.5,0,0,0,0.048,0,0.1,0,0,0.5,0,0,0,1,0,0,0.1,0,1.5,0.8,0,4,0,0,0,0.4
1/31/2021,31,1,0.28,0,0,0,0,0,0.32,0.06,0,0,0.06,0,0,0,0,0,0.01,0,0,0,0.0365,4.1,0,0,0,0,0,1.3,1,0,0,0.7,0,0,0,0,0,0,0,0,0,0.355
2/1/2021,1,2,0,0,0,0,0,0,0.34,0.01,0.12,0,0,0,0,0,0,0,0.06,0,0,0,0.0265,0,0,0,0,0,0,0.1,0.3,2.7,0,0,0,0,0,0,0,0.5,0,0,0,0.18
2/2/2021,2,2,0,0,0,0.55,0,0,0.16,0,0,0,0,0,0.06,0,0,0.01,0,0.03,0,0,0.0405,0,0,0,4.3,0,0,0.4,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.26
2/3/2021,3,2,0,0,0,0.02,0.07,0,0,0,0.09,0,0,0,0,0,0.02,0,0.01,0,0,0.07,0.014,0,0,0,0.2,1.1,0,0,0,1.2,0,0,0,0,0,0.3,0,0.5,0,0,0,0.165
